MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Id,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,Heating_GasW,Heating_Grav,Heating_Wall,CentralAir_Y,Electrical_FuseF,Electrical_FuseP,Electrical_SBrkr,BsmtFullBath_1.0,BsmtFullBath_2.0,BsmtFullBath_3.0,BsmtHalfBath_1.0,BsmtHalfBath_2.0,FullBath_1,FullBath_2,FullBath_3,FullBath_4,HalfBath_1,HalfBath_2,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtFinType2_BLQ,BsmtFinType2_GLQ,BsmtFinType2_LwQ,BsmtFinType2_Rec,BsmtFinType2_Unf,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,ExterCond_Fa,ExterCond_Gd,ExterCond_Po,ExterCond_TA,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
20,3.0,80.0,11622,2,1,1,1,1.0,1,3,NAmes,2,3,1.0,1,5,6,1961,1961,2,2,15.0,15.0,4,0.0,1461,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,468.0,144.0,270.0,882.0,896,0,0,896,2,1,3,5,7.0,0,0,Attchd,1961.0,1,1.0,730.0,3,3,3,140,0,0,0,120,0,0,6,2010,WD,Normal
20,1.0,81.0,14267,2,1,2,1,1.0,2,3,NAmes,3,3,1.0,1,6,6,1958,1958,4,2,16.0,16.0,2,108.0,1462,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,923.0,0.0,406.0,1329.0,1329,0,0,1329,3,1,4,6,7.0,0,0,Attchd,1958.0,1,1.0,312.0,3,3,3,393,36,0,0,0,0,12500,6,2010,WD,Normal
60,1.0,74.0,13830,2,1,2,1,1.0,1,3,Gilbert,3,3,1.0,4,5,5,1997,1998,2,2,15.0,15.0,4,0.0,1463,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,791.0,0.0,137.0,928.0,928,701,0,1629,3,1,3,6,7.0,1,3,Attchd,1997.0,3,2.0,482.0,3,3,3,212,34,0,0,0,0,0,3,2010,WD,Normal
60,1.0,78.0,9978,2,1,2,1,1.0,1,3,Gilbert,3,3,1.0,4,6,6,1998,1998,2,2,15.0,15.0,2,20.0,1464,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,602.0,0.0,324.0,926.0,926,678,0,1604,3,1,4,7,7.0,1,4,Attchd,1998.0,3,2.0,470.0,3,3,3,360,36,0,0,0,0,0,6,2010,WD,Normal
120,1.0,43.0,5005,2,1,2,3,1.0,1,3,StoneBr,3,3,4.0,1,8,5,1992,1992,2,2,7.0,7.0,4,0.0,1465,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,263.0,0.0,1017.0,1280.0,1280,0,0,1280,2,1,4,5,7.0,0,0,Attchd,1992.0,2,2.0,506.0,3,3,3,0,82,0,0,144,0,0,1,2010,WD,Normal
60,1.0,75.0,10000,2,1,2,1,1.0,2,3,Gilbert,3,3,1.0,4,6,5,1993,1994,2,2,7.0,7.0,4,0.0,1466,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0.0,0.0,763.0,763.0,763,892,0,1655,3,1,3,7,7.0,1,3,Attchd,1993.0,3,2.0,440.0,3,3,3,157,84,0,0,0,0,0,4,2010,WD,Normal
20,1.0,,7980,2,1,2,1,1.0,1,3,Gilbert,3,3,1.0,1,6,7,1992,2007,2,2,7.0,7.0,4,0.0,1467,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,935.0,0.0,233.0,1168.0,1187,0,0,1187,3,1,3,6,7.0,0,0,Attchd,1992.0,3,2.0,420.0,3,3,3,483,21,0,0,0,0,500,3,2010,WD,Normal
60,1.0,63.0,8402,2,1,2,1,1.0,1,3,Gilbert,3,3,1.0,4,6,5,1998,1998,2,2,15.0,15.0,4,0.0,1468,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0.0,0.0,789.0,789.0,789,676,0,1465,3,1,3,7,7.0,1,4,Attchd,1998.0,3,2.0,393.0,3,3,3,0,75,0,0,0,0,0,5,2010,WD,Normal
20,1.0,85.0,10176,2,1,1,1,1.0,1,3,Gilbert,3,3,1.0,1,7,5,1990,1990,2,2,7.0,7.0,4,0.0,1469,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,637.0,0.0,663.0,1300.0,1341,0,0,1341,2,1,4,5,7.0,1,1,Attchd,1990.0,1,2.0,506.0,3,3,3,192,0,0,0,0,0,0,2,2010,WD,Normal
20,1.0,70.0,8400,2,1,1,1,1.0,2,3,NAmes,3,3,1.0,1,4,5,1970,1970,2,2,11.0,11.0,4,0.0,1470,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,804.0,78.0,0.0,882.0,882,0,0,882,2,1,3,4,7.0,0,0,Attchd,1970.0,3,2.0,525.0,3,3,3,240,0,0,0,0,0,0,4,2010,WD,Normal
