Id_x,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,CentralAir_Y,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,BsmtFullBath_1,BsmtFullBath_2,BsmtFullBath_3,BsmtHalfBath_1,BsmtHalfBath_2,FullBath_1,FullBath_2,FullBath_3,HalfBath_1,HalfBath_2,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtFinType2_BLQ,BsmtFinType2_GLQ,BsmtFinType2_LwQ,BsmtFinType2_Rec,BsmtFinType2_Unf,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,ExterCond_Fa,ExterCond_Gd,ExterCond_Po,ExterCond_TA,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,1.0,65.0,8450,2,1,1,1,1,1,3,CollgCr,3,3,1.0,4,7,5,2003,2003,2,2,15,15.0,2,196.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,706,0,150,856,856,854,0,1710,3,1,4,8,7,0,0,Attchd,2003.0,2,2,548,3,3,3,0,61,0,0,0,0,0,2,2008,WD,Normal,208500
2,20,1.0,80.0,9600,2,1,1,1,1,4,3,Veenker,2,3,1.0,1,6,8,1976,1976,2,2,9,9.0,4,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,978,0,284,1262,1262,0,0,1262,3,1,3,6,7,1,3,Attchd,1976.0,2,2,460,3,3,3,298,0,0,0,0,0,0,5,2007,WD,Normal,181500
3,60,1.0,68.0,11250,2,1,2,1,1,1,3,CollgCr,3,3,1.0,4,7,5,2001,2002,2,2,15,15.0,2,162.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,486,0,434,920,920,866,0,1786,3,1,4,6,7,1,3,Attchd,2001.0,2,2,608,3,3,3,0,42,0,0,0,0,0,9,2008,WD,Normal,223500
4,70,1.0,60.0,9550,2,1,2,1,1,2,3,Crawfor,3,3,1.0,4,7,5,1915,1970,2,2,16,,4,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,216,0,540,756,961,756,0,1717,3,1,4,7,7,1,4,Detchd,1998.0,1,3,642,3,3,3,0,35,272,0,0,0,0,2,2006,WD,Abnorml,140000
5,60,1.0,84.0,14260,2,1,2,1,1,4,3,NoRidge,3,3,1.0,4,8,5,2000,2000,2,2,15,15.0,2,350.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,655,0,490,1145,1145,1053,0,2198,4,1,4,9,7,1,3,Attchd,2000.0,2,3,836,3,3,3,192,84,0,0,0,0,0,12,2008,WD,Normal,250000
6,50,1.0,85.0,14115,2,1,2,1,1,1,3,Mitchel,3,3,1.0,2,5,5,1993,1995,2,2,15,15.0,4,0.0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,732,0,64,796,796,566,0,1362,1,1,3,5,7,0,0,Attchd,1993.0,1,2,480,3,3,3,40,30,0,320,0,0,700,10,2009,WD,Normal,143000
7,20,1.0,75.0,10084,2,1,1,1,1,1,3,Somerst,3,3,1.0,1,8,5,2004,2005,2,2,15,15.0,5,186.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1369,0,317,1686,1694,0,0,1694,3,1,4,7,7,1,4,Attchd,2004.0,2,2,636,3,3,3,255,57,0,0,0,0,0,8,2007,WD,Normal,307000
8,60,1.0,,10382,2,1,2,1,1,2,3,NWAmes,6,3,1.0,4,7,6,1973,1973,2,2,7,7.0,5,240.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,859,32,216,1107,1107,983,0,2090,3,1,3,7,7,2,3,Attchd,1973.0,2,2,484,3,3,3,235,204,228,0,0,0,350,11,2009,WD,Normal,200000
9,50,2.0,51.0,6120,2,1,1,1,1,1,3,OldTown,1,3,1.0,2,7,5,1931,1950,2,2,4,,4,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,952,952,1022,752,0,1774,2,2,3,8,6,2,3,Detchd,1931.0,1,2,468,2,3,3,90,0,205,0,0,0,0,4,2008,WD,Abnorml,129900
10,190,1.0,50.0,7420,2,1,1,1,1,2,3,BrkSide,1,1,,3,5,6,1939,1950,2,2,9,9.0,4,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,851,0,140,991,1077,0,0,1077,2,2,3,5,7,2,3,Attchd,1939.0,2,1,205,4,3,3,0,4,0,0,0,0,0,1,2008,WD,Normal,118000
